#{"t_start": 1763592594.411937, "env_id": "None"}
r,l,t
3875.500564,1137,1290.393244
4974.158567,1174,1299.056057
4972.76273,1194,1304.59491
4981.039335,1138,1309.824526
4977.928926,1173,1315.250001
3504.314969,951,1319.627146
4981.774504,1151,1324.919636
4984.089488,1120,1330.110471
4976.656297,1160,1335.467863
4974.715713,1186,1340.984352
4975.030332,1184,1349.65732
4978.946209,1170,1355.107984
4986.854605,1114,1360.269981
4966.956122,1245,1366.048057
4980.175617,1146,1371.373744
4976.270633,1200,1376.945778
4982.847567,1147,1382.286624
4978.238968,1158,1387.643373
4974.296504,1175,1396.422853
4968.267246,1241,1402.226765
4978.500159,1167,1407.647146
4971.39175,1202,1413.223376
4992.167412,1073,1418.155972
4968.325703,1219,1423.785086
4990.95613,1074,1428.740436
4973.897109,1209,1434.334565
4979.013778,1149,1439.643214
4988.525141,1115,1448.04522
4971.5756,1195,1453.5754
4991.95889,1083,1458.592474
4973.498394,1179,1464.123233
2395.293065,719,1467.446352
4990.792992,1092,1472.482691
2179.792577,722,1475.804686
4987.35632,1096,1480.858622
2716.645925,904,1485.023446
4982.965004,1134,1495.58288
4990.884138,1106,1500.713371
4989.788666,1069,1505.684889
4974.740162,1172,1511.093959
4992.024481,1098,1516.163337
4982.63487,1145,1521.440375
4980.500989,1142,1526.734823
4984.753099,1122,1531.901846
4999.900215,1044,1536.834067
4991.592671,1077,1545.34073
4997.752882,1064,1550.303654
4979.151363,1173,1568.358829
4991.380853,1093,1573.350865
1209.634217,543,1575.84301
4984.023065,1114,1580.9954
4978.792084,1163,1586.347524
4976.846384,1159,1591.676134
4998.016229,1017,1596.642252
4994.563718,1040,1601.494647
4980.664247,1132,1610.088924
4985.880973,1112,1615.269557
4991.793329,1071,1620.273735
3198.578787,852,1624.247401
4999.06198,1044,1629.10889
4985.477244,1126,1634.373041
4986.473194,1107,1639.498499
4988.38565,1106,1644.631536
4986.477787,1115,1649.765325
4973.194602,1181,1658.530634
4988.936161,1101,1663.62677
4994.116179,1077,1668.587965
5000.904679,1038,1673.380884
4982.835532,1145,1678.642172
4989.416228,1092,1683.64301
4996.248762,1067,1688.60209
3536.85411,936,1692.93991
4986.186501,1126,1698.167918
4996.382051,1058,1703.093387
4995.028767,1052,1711.251081
4992.470401,1060,1716.147208
4978.74264,1168,1721.519813
4986.198377,1132,1726.789062
4994.09919,1067,1731.732341
4998.074452,1027,1736.488877
4994.787714,1048,1741.39655
4991.37709,1092,1746.450815
4988.325287,1099,1751.530094
4995.270508,1067,1759.826485
5000.056841,1010,1764.476186
4985.256929,1103,1769.62613
4990.508023,1105,1774.783394
4994.517528,1051,1779.654528
4987.453059,1112,1784.921002
4986.445363,1093,1790.003484
4995.382964,1070,1794.982974
5000.238092,1022,1799.724721
4999.276103,1032,1807.793235
4990.449858,1093,1812.844754
4995.613191,1042,1817.673683
4977.299429,1159,1823.071971
4992.406589,1082,1828.058879
4986.954965,1093,1833.079855
4989.916699,1069,1837.996626
5002.888517,1030,1842.720329
1137.12571,509,1845.046019
1973.07417,613,1847.856493
5003.057185,1005,1855.716717
5000.481021,1019,1860.412681
5002.445606,987,1864.966508
5003.841145,1027,1869.671027
4988.25354,1084,1874.621593
5002.440637,1030,1879.319864
4990.159865,1067,1884.191364
4979.544106,1145,1889.438675
5001.478079,1025,1894.136801
5000.126525,1034,1898.865706
